Lawson State Community College	Birmingham	Alabama
Miles College	Fairfield	Alabama
Miles School of Law	Fairfield *	Alabama
Gadsden State College	Gadsden	Alabama
Alabama A&M University	Huntsville	Alabama
J.F. Drake State Technical College	Huntsville	Alabama
Oakwood University	Huntsville	Alabama
Bishop State Community College	Mobile	Alabama
Alabama State University	Montgomery	Alabama
H. Councill Trenholm State Community College	Montgomery	Alabama
Concordia University -Alabama	Selma	Alabama
Selma University	Selma	Alabama
Talladega College	Talladega	Alabama
Shelton State Community College	Tuscaloosa	Alabama
Stillman College	Tuscaloosa	Alabama
Tuskegee University	Tuskegee	Alabama
Arkansas Baptist College	Little Rock	Arkansas
Philander Smith College	Little Rock	Arkansas
Shorter College	North Little Rock	Arkansas
University of Arkansas at Pine Bluff	Pine Bluff	Arkansas
Delaware State University	Dover	Delaware
University of the District of Columbia		District of Columbia
Howard University		District of Columbia
Bethune Cookman University	Daytona Beach	Florida
Edward Waters University	Jacksonville	Florida
Florida Memorial University	Miami Gardens	Florida
Florida A&M University	Tallahassee	Florida
Albany State University	Albany	Georgia
Carver College	Atlanta	Georgia
Clark Atlanta University	Atlanta	Georgia
Interdenominational Theological Center	Atlanta	Georgia
Johnson C Smith Theological Seminary*	Atlanta	Georgia
Morehouse College	Atlanta	Georgia
Morehouse School of Medicine	Atlanta	Georgia
Morris Brown College	Atlanta	Georgia
Spelman College	Atlanta	Georgia
Paine College	Augusta	Georgia
Fort Valley State University	Fort Valley	Georgia
Savannah State University	Savannah	Georgia
Kentucky State University	Frankfort	Kentucky
Simmons College of Kentucky	Louisville	Kentucky
Southern University and A&M College	Baton Rouge	Louisiana
Grambling State University	Grambling	Louisiana
Southern University New Orleans	New Orleans	Louisiana
Xavier University	New Orleans	Louisiana
Southern University -Shreveport	Shreveport	Louisiana
Dillard University -New Orleans		Louisiana
Coppin State University	Baltimore	Maryland
Morgan State University	Baltimore	Maryland
Bowie State University	Bowie	Maryland
University of Maryland - Eastern Shore	Princess Anne	Maryland
Lewis College of Business	Detroit	Michigan
Coahoma Community College	Clarksdale	Mississippi
Rust College	Holly Springs	Mississippi
Mississippi Valley State University	Itta Bena	Mississippi
Jackson State University	Jackson	Mississippi
Alcorn State University	Lorman	Mississippi
Tougaloo College	Tougaloo	Mississippi
Hinds County Community College	Utica	Mississippi
Lincoln University	Jefferson City	Missouri
Harris -Stowe State University	St. Louis	Missouri
Johnson C. Smith University	Charlotte	North Carolina
Barber -Scotia College**	Concord	North Carolina
North Carolina Central University	Durham	North Carolina
Elizabeth City State University	Elizabeth City	North Carolina
Fayetteville State University	Fayetteville	North Carolina
Bennett College	Greensboro	North Carolina
North Carolina A&T State University	Greensboro	North Carolina
Shaw University	Raleigh	North Carolina
St. Augustine's University	Raleigh	North Carolina
Hood Theological Seminary*	Salisbury	North Carolina
Livingstone College	Salisbury	North Carolina
Winston -Salem State University	Winston Salem	North Carolina
Central State University	Wilberforce	Ohio
Payne Theological Seminary*	Wilberforce	Ohio
Wilberforce University	Wilberforce	Ohio
Langston University	Langston	Oklahoma
Cheyney University	Cheyney	Pennsylvania
The Lincoln University	Lincoln University	Pennsylvania
Allen University	Columbia	South Carolina
Benedict College	Columbia	South Carolina
Denmark Technical College	Denmark	South Carolina
Voorhees University	Denmark	South Carolina
Claflin University	Orangeburg	South Carolina
South Carolina State University	Orangeburg	South Carolina
Clinton College	Rock Hill	South Carolina
Morris College	Sumter	South Carolina
Lane College	Jackson	Tennessee
Knoxville College	Knoxville	Tennessee
LeMoyne Owen College	Memphis	Tennessee
American Baptist University	Nashville	Tennessee
Fisk University	Nashville	Tennessee
Tennessee State University	Nashville	Tennessee
Meharry Medical College		Tennessee
Huston -Tillotson University	Austin	Texas
Paul Quinn College	Dallas	Texas
Jarvis Christian University	Hawkins	Texas
Texas Southern University	Houston	Texas
Wiley University	Marshall	Texas
Prairie View A&M University	Prairie View	Texas
St. Philip's College	San Antonio	Texas
Southwestern Christian College	Terrell	Texas
Texas College	Tyler	Texas
University of the Virgin Islands	St. Thomas & St. Croix	US Virgin Islands
Hampton University	Hampton	Virginia
Saint Paul's College	Lawrenceville	Virginia
Virginia University of Lynchburg	Lynchburg	Virginia
Norfolk State University	Norfolk	Virginia
Virginia State University	Petersburg	Virginia
Virginia Union University	Richmond	Virginia
Bluefield State College	Bluefield	West Virginia
West Virginia State University	Institute	West Virginia
